id#collection#dc.identifier.isbn#dc.contributor.author#dc.title.alternative#dc.title#dc.publisher[en_US]#dc.citation.volume#dc.citation.number#dc.citation.pages#dc.date.issued#dc.relation#dc.relation.ispartofseries#dc.contributor.editor#dc.description[en_US]#dc.subject
+#123/1142##A Stephen, Graham##String Search####1--106#1992#####
+#123/1142##A. Bergstra, J||V. Tucker, J##Algebraic Specifications of computable and semicomputable data types#####1979#####
+#123/1142##A. Bohorquez, Jaime##A Relational Theorem on the Correctness of General Recursive Programs####1--27#2005#####
+#123/1142##A. Bohorquez, Jaime||Rocha, Camilo##Towards the Effective Use of Formal Logic in the Teaching of Discrete Math####1--8######
+#123/1142##A. Carreno, Victor||A. Munhoz, Cesar||Tahar, Sofiene#15th International Conference, TPHOLs 2002#Theorem Proving in Higher Order Logics####1--347#2002#####
+#123/1142##A. Strunk, Elisabeth||C. Knight, John||Antony Aiello, M.##Distributed Reconfigurable Avionics Architectures##########
+#123/1142##Abadi, Martín||Burrows, Michael||Lampson, Butler||Plotkin, Gordon##A Calculus for Access Control in Distributed Systems#ACM Transactions on Programming Languages and Systems#15##706--734#1991#####
+#123/1142#0-89791-343-4#Abadi, M||Cardelli, L||Curien, P.-L.||Levy, J.-J.#Journal of Functional Programming 1#Explicit Substitutions#ACM###375--416#1991#http://doi.acm.org/10.1145/96709.96712#POPL '90###
+#123/1142##Abadi, Martín||Cortier, Véronique##Deciding Knowledge in Security Protocols Under Equational Theories#Theor. Comput. Sci., Elsevier Science Publishers Ltd.#367#1#2--32#2006#http://dx.doi.org/10.l016/j.tcs.2006.08.032####decidability||cryptography
+#123/1142#0-7695-2340-4#Abadi, Martín||Cortier, Véronique#CSFW#Deciding Knowledge in Security Protocols under (Many More) Equational Theories.#IEEE Computer Society###62--76#2005#"http://dblp.uni-trier.de/db/conf/csfw/csfw2005.html\#AbadiC05"####
+#123/1142##Abel, Andreas||München, Ludwig-maximilians-universität##Syntactical Strong Normalization for Intersection Types with Term Rewriting Rules#####2007#####
+#123/1142##Acuña, Hernán González||Dutra, Max Suell||Lengerke, Omar||Morales, Magda J##Representation of information using Kohonen's SOM (Self-Organizing Maps)#Revista Colombiana de Computación#11#2##2010#####
+#123/1142##Adamek, Jiri##How many variables does a quasivariety need?#Algebra Universalis#27##44--48#1990#####
+#123/1142##Agrawal, Manindra||Kayal, Neeraj||Saxena, Nitin##PRIMES is in P#Ann. of Math#2##1--9#2002#####
+#123/1142##Agudelo, Carlos##Secuencias de alarmas para detecci\'on y diagn\'ostico de fallos#Revista Colombiana de Computación#12#2##2011#####
+#123/1142##Agudelo, Carlos##PCA y L\'ogica Fuzzy para la detecci\'on de eventos anormales de operaci\'on, en una planta de Craqueo Catal\'\itico Fluidizado FCC#Revista Colombiana de Computación#12#2##2011#####
